"species","trait","class","pct"
"Ceratophysella bengtssoni","reproduction","asexual",0
"Ceratophysella bengtssoni","reproduction","sexual",100
"Ceratophysella bengtssoni","scales","absent",100
"Ceratophysella bengtssoni","scales","present",0
"Ceratophysella denticulata","body_shape","cylindrical",100
"Ceratophysella denticulata","body_shape","spherical",0
"Ceratophysella denticulata","furca","absent",0
"Ceratophysella denticulata","furca","present",100
"Ceratophysella denticulata","ocelli","1_3",0
"Ceratophysella denticulata","ocelli","4_7",0
"Ceratophysella denticulata","ocelli","8",100
"Ceratophysella denticulata","ocelli","absent",0
"Ceratophysella denticulata","pigmentation","absent",0
"Ceratophysella denticulata","pigmentation","present",100
"Ceratophysella denticulata","reproduction","asexual",0
"Ceratophysella denticulata","reproduction","sexual",100
"Ceratophysella denticulata","scales","absent",100
"Ceratophysella denticulata","scales","present",0
"Ceratophysella gibbosa","body_shape","cylindrical",100
"Ceratophysella gibbosa","body_shape","spherical",0
"Ceratophysella gibbosa","furca","absent",0
"Ceratophysella gibbosa","furca","present",100
"Ceratophysella gibbosa","ocelli","1_3",0
"Ceratophysella gibbosa","ocelli","4_7",0
"Ceratophysella gibbosa","ocelli","8",100
"Ceratophysella gibbosa","ocelli","absent",0
"Ceratophysella gibbosa","pigmentation","absent",0
"Ceratophysella gibbosa","pigmentation","present",100
"Ceratophysella gibbosa","reproduction","asexual",0
"Ceratophysella gibbosa","reproduction","sexual",100
"Ceratophysella gibbosa","scales","absent",100
"Ceratophysella gibbosa","scales","present",0
"Choreutinula inermis","body_shape","cylindrical",100
"Choreutinula inermis","body_shape","spherical",0
"Choreutinula inermis","furca","absent",0
"Choreutinula inermis","furca","present",100
"Choreutinula inermis","ocelli","1_3",0
"Choreutinula inermis","ocelli","4_7",0
"Choreutinula inermis","ocelli","8",100
"Choreutinula inermis","ocelli","absent",0
"Choreutinula inermis","pigmentation","absent",0
"Choreutinula inermis","pigmentation","present",100
"Choreutinula inermis","post_antennal_organ","absent",0
"Choreutinula inermis","post_antennal_organ","present",100
"Choreutinula inermis","scales","absent",100
"Choreutinula inermis","scales","present",0
"Coecobrya tenebricosa","body_shape","cylindrical",100
"Coecobrya tenebricosa","body_shape","spherical",0
"Coecobrya tenebricosa","furca","absent",0
"Coecobrya tenebricosa","furca","present",100
"Coecobrya tenebricosa","ocelli","1_3",0
"Coecobrya tenebricosa","ocelli","4_7",0
"Coecobrya tenebricosa","ocelli","8",0
"Coecobrya tenebricosa","ocelli","absent",100
"Coecobrya tenebricosa","pigmentation","absent",100
"Coecobrya tenebricosa","pigmentation","present",0
"Coecobrya tenebricosa","post_antennal_organ","absent",100
"Coecobrya tenebricosa","post_antennal_organ","present",0
"Coecobrya tenebricosa","reproduction","asexual",0
"Coecobrya tenebricosa","reproduction","sexual",100
"Coecobrya tenebricosa","scales","absent",100
"Coecobrya tenebricosa","scales","present",0
"Cryptopygus bipunctatus","body_shape","cylindrical",100
"Cryptopygus bipunctatus","body_shape","spherical",0
"Cryptopygus bipunctatus","furca","absent",0
"Cryptopygus bipunctatus","furca","present",100
"Cryptopygus bipunctatus","ocelli","1_3",100
"Cryptopygus bipunctatus","ocelli","4_7",0
"Cryptopygus bipunctatus","ocelli","8",0
"Cryptopygus bipunctatus","ocelli","absent",0
"Cryptopygus bipunctatus","pigmentation","absent",100
"Cryptopygus bipunctatus","pigmentation","present",0
"Cryptopygus bipunctatus","post_antennal_organ","absent",0
"Cryptopygus bipunctatus","post_antennal_organ","present",100
"Cryptopygus bipunctatus","reproduction","asexual",0
"Cryptopygus bipunctatus","reproduction","sexual",100
"Cryptopygus bipunctatus","scales","absent",100
"Cryptopygus bipunctatus","scales","present",0
"Cryptopygus garretti","body_shape","cylindrical",100
"Cryptopygus garretti","body_shape","spherical",0
"Cryptopygus garretti","furca","absent",0
"Cryptopygus garretti","furca","present",100
"Cryptopygus garretti","ocelli","1_3",0
"Cryptopygus garretti","ocelli","4_7",0
"Cryptopygus garretti","ocelli","8",0
"Cryptopygus garretti","ocelli","absent",100
"Cryptopygus garretti","pigmentation","absent",100
"Cryptopygus garretti","pigmentation","present",0
"Cryptopygus garretti","post_antennal_organ","absent",0
"Cryptopygus garretti","post_antennal_organ","present",100
"Cryptopygus garretti","scales","absent",100
"Cryptopygus garretti","scales","present",0
"Cryptopygus scapelliferus","body_shape","cylindrical",100
"Cryptopygus scapelliferus","body_shape","spherical",0
"Cryptopygus scapelliferus","furca","absent",0
"Cryptopygus scapelliferus","furca","present",100
"Cryptopygus scapelliferus","ocelli","1_3",0
"Cryptopygus scapelliferus","ocelli","4_7",0
"Cryptopygus scapelliferus","ocelli","8",0
"Cryptopygus scapelliferus","ocelli","absent",100
"Cryptopygus scapelliferus","pigmentation","absent",100
"Cryptopygus scapelliferus","pigmentation","present",0
"Cryptopygus scapelliferus","post_antennal_organ","absent",0
"Cryptopygus scapelliferus","post_antennal_organ","present",100
"Cryptopygus scapelliferus","reproduction","asexual",0
"Cryptopygus scapelliferus","reproduction","sexual",100
"Cryptopygus scapelliferus","scales","absent",100
"Cryptopygus scapelliferus","scales","present",0
"Cryptopygus thermophilus","body_shape","cylindrical",100
"Cryptopygus thermophilus","body_shape","spherical",0
"Cryptopygus thermophilus","furca","absent",0
"Cryptopygus thermophilus","furca","present",100
"Cryptopygus thermophilus","ocelli","1_3",0
"Cryptopygus thermophilus","ocelli","4_7",50
"Cryptopygus thermophilus","ocelli","8",50
"Cryptopygus thermophilus","ocelli","absent",0
"Cryptopygus thermophilus","pigmentation","absent",0
"Cryptopygus thermophilus","pigmentation","present",100
"Cryptopygus thermophilus","post_antennal_organ","absent",0
"Cryptopygus thermophilus","post_antennal_organ","present",100
"Cryptopygus thermophilus","reproduction","asexual",0
"Cryptopygus thermophilus","reproduction","sexual",100
"Cryptopygus thermophilus","scales","absent",100
"Cryptopygus thermophilus","scales","present",0
"Cyphoderus albinus","body_shape","cylindrical",100
"Cyphoderus albinus","body_shape","spherical",0
"Cyphoderus albinus","furca","absent",0
"Cyphoderus albinus","furca","present",100
"Cyphoderus albinus","ocelli","1_3",0
"Cyphoderus albinus","ocelli","4_7",0
"Cyphoderus albinus","ocelli","8",0
"Cyphoderus albinus","ocelli","absent",100
"Cyphoderus albinus","pigmentation","absent",100
"Cyphoderus albinus","pigmentation","present",0
"Cyphoderus albinus","reproduction","asexual",0
"Cyphoderus albinus","reproduction","sexual",100
"Cyphoderus albinus","scales","absent",100
"Cyphoderus albinus","scales","present",0
"Cyphoderus bidenticulatus","body_shape","cylindrical",100
"Cyphoderus bidenticulatus","body_shape","spherical",0
"Cyphoderus bidenticulatus","furca","absent",0
"Cyphoderus bidenticulatus","furca","present",100
"Cyphoderus bidenticulatus","ocelli","1_3",0
"Cyphoderus bidenticulatus","ocelli","4_7",0
"Cyphoderus bidenticulatus","ocelli","8",0
"Cyphoderus bidenticulatus","ocelli","absent",100
"Cyphoderus bidenticulatus","pigmentation","absent",100
"Cyphoderus bidenticulatus","pigmentation","present",0
"Cyphoderus bidenticulatus","post_antennal_organ","absent",100
"Cyphoderus bidenticulatus","post_antennal_organ","present",0
"Cyphoderus bidenticulatus","reproduction","asexual",0
"Cyphoderus bidenticulatus","reproduction","sexual",100
"Cyphoderus bidenticulatus","scales","absent",100
"Cyphoderus bidenticulatus","scales","present",0
"Desoria olivacea","body_shape","cylindrical",100
"Desoria olivacea","body_shape","spherical",0
"Desoria olivacea","furca","absent",0
"Desoria olivacea","furca","present",100
"Desoria olivacea","ocelli","1_3",0
"Desoria olivacea","ocelli","4_7",0
"Desoria olivacea","ocelli","8",100
"Desoria olivacea","ocelli","absent",0
"Desoria olivacea","pigmentation","absent",0
"Desoria olivacea","pigmentation","present",100
"Desoria olivacea","reproduction","asexual",0
"Desoria olivacea","reproduction","sexual",100
"Desoria olivacea","scales","absent",100
"Desoria olivacea","scales","present",0
"Desoria tigrina","body_shape","cylindrical",100
"Desoria tigrina","body_shape","spherical",0
"Desoria tigrina","furca","absent",0
"Desoria tigrina","furca","present",100
"Desoria tigrina","ocelli","1_3",0
"Desoria tigrina","ocelli","4_7",0
"Desoria tigrina","ocelli","8",100
"Desoria tigrina","ocelli","absent",0
"Desoria tigrina","pigmentation","absent",0
"Desoria tigrina","pigmentation","present",100
"Desoria tigrina","reproduction","asexual",0
"Desoria tigrina","reproduction","sexual",100
"Desoria tigrina","scales","absent",100
"Desoria tigrina","scales","present",0
"Desoria violacea","body_shape","cylindrical",100
"Desoria violacea","body_shape","spherical",0
"Desoria violacea","furca","absent",0
"Desoria violacea","furca","present",100
"Desoria violacea","ocelli","1_3",0
"Desoria violacea","ocelli","4_7",0
"Desoria violacea","ocelli","8",100
"Desoria violacea","ocelli","absent",0
"Desoria violacea","pigmentation","absent",0
"Desoria violacea","pigmentation","present",100
"Desoria violacea","reproduction","asexual",0
"Desoria violacea","reproduction","sexual",100
"Desoria violacea","scales","absent",100
"Desoria violacea","scales","present",0
"Detriturus jubilarius","body_shape","cylindrical",100
"Detriturus jubilarius","body_shape","spherical",0
"Detriturus jubilarius","furca","absent",100
"Detriturus jubilarius","furca","present",0
"Detriturus jubilarius","ocelli","1_3",0
