"species","trait","class","pct"
"Friesea truncata","ocelli","absent",0
"Friesea truncata","pigmentation","absent",0
"Friesea truncata","pigmentation","present",100
"Friesea truncata","post_antennal_organ","absent",100
"Friesea truncata","post_antennal_organ","present",0
"Friesea truncata","reproduction","asexual",0
"Friesea truncata","reproduction","sexual",100
"Friesea truncata","scales","absent",100
"Friesea truncata","scales","present",0
"Frisea mirabilis","body_shape","cylindrical",100
"Frisea mirabilis","body_shape","spherical",0
"Frisea mirabilis","furca","absent",0
"Frisea mirabilis","furca","present",100
"Frisea mirabilis","ocelli","1_3",0
"Frisea mirabilis","ocelli","4_7",0
"Frisea mirabilis","ocelli","8",100
"Frisea mirabilis","ocelli","absent",0
"Frisea mirabilis","pigmentation","absent",0
"Frisea mirabilis","pigmentation","present",100
"Frisea mirabilis","post_antennal_organ","absent",100
"Frisea mirabilis","post_antennal_organ","present",0
"Frisea mirabilis","reproduction","asexual",0
"Frisea mirabilis","reproduction","sexual",100
"Frisea mirabilis","scales","absent",100
"Frisea mirabilis","scales","present",0
"Heteromurus major","body_shape","cylindrical",100
"Heteromurus major","body_shape","spherical",0
"Heteromurus major","furca","absent",0
"Heteromurus major","furca","present",100
"Heteromurus major","ocelli","1_3",0
"Heteromurus major","ocelli","4_7",0
"Heteromurus major","ocelli","8",100
"Heteromurus major","ocelli","absent",0
"Heteromurus major","pigmentation","absent",0
"Heteromurus major","pigmentation","present",100
"Heteromurus major","reproduction","asexual",0
"Heteromurus major","reproduction","sexual",100
"Heteromurus major","scales","absent",0
"Heteromurus major","scales","present",100
"Heteromurus nitidus","body_shape","cylindrical",100
"Heteromurus nitidus","body_shape","spherical",0
"Heteromurus nitidus","furca","absent",0
"Heteromurus nitidus","furca","present",100
"Heteromurus nitidus","ocelli","1_3",100
"Heteromurus nitidus","ocelli","4_7",0
"Heteromurus nitidus","ocelli","8",0
"Heteromurus nitidus","ocelli","absent",0
"Heteromurus nitidus","pigmentation","absent",25
"Heteromurus nitidus","pigmentation","present",75
"Heteromurus nitidus","reproduction","asexual",0
"Heteromurus nitidus","reproduction","sexual",100
"Heteromurus nitidus","scales","absent",0
"Heteromurus nitidus","scales","present",100
"Hypogastrura assimilis","body_shape","cylindrical",100
"Hypogastrura assimilis","body_shape","spherical",0
"Hypogastrura assimilis","furca","absent",0
"Hypogastrura assimilis","furca","present",100
"Hypogastrura assimilis","ocelli","1_3",0
"Hypogastrura assimilis","ocelli","4_7",0
"Hypogastrura assimilis","ocelli","8",100
"Hypogastrura assimilis","ocelli","absent",0
"Hypogastrura assimilis","pigmentation","absent",0
"Hypogastrura assimilis","pigmentation","present",100
"Hypogastrura assimilis","post_antennal_organ","absent",0
"Hypogastrura assimilis","post_antennal_organ","present",100
"Hypogastrura assimilis","reproduction","asexual",0
"Hypogastrura assimilis","reproduction","sexual",100
"Hypogastrura assimilis","scales","absent",100
"Hypogastrura assimilis","scales","present",0
"Hypogastrura manubrialis","body_shape","cylindrical",100
"Hypogastrura manubrialis","body_shape","spherical",0
"Hypogastrura manubrialis","furca","absent",0
"Hypogastrura manubrialis","furca","present",100
"Hypogastrura manubrialis","ocelli","1_3",0
"Hypogastrura manubrialis","ocelli","4_7",0
"Hypogastrura manubrialis","ocelli","8",100
"Hypogastrura manubrialis","ocelli","absent",0
"Hypogastrura manubrialis","pigmentation","absent",0
"Hypogastrura manubrialis","pigmentation","present",100
"Hypogastrura manubrialis","post_antennal_organ","absent",0
"Hypogastrura manubrialis","post_antennal_organ","present",100
"Hypogastrura manubrialis","reproduction","asexual",0
"Hypogastrura manubrialis","reproduction","sexual",100
"Hypogastrura manubrialis","scales","absent",100
"Hypogastrura manubrialis","scales","present",0
"Hypogastrura meridionalis","body_shape","cylindrical",100
"Hypogastrura meridionalis","body_shape","spherical",0
"Hypogastrura meridionalis","furca","absent",0
"Hypogastrura meridionalis","furca","present",100
"Hypogastrura meridionalis","ocelli","1_3",0
"Hypogastrura meridionalis","ocelli","4_7",0
"Hypogastrura meridionalis","ocelli","8",100
"Hypogastrura meridionalis","ocelli","absent",0
"Hypogastrura meridionalis","pigmentation","absent",0
"Hypogastrura meridionalis","pigmentation","present",100
"Hypogastrura meridionalis","reproduction","asexual",0
"Hypogastrura meridionalis","reproduction","sexual",100
"Hypogastrura meridionalis","scales","absent",100
"Hypogastrura meridionalis","scales","present",0
"Hypogastrura purpurescens","body_shape","cylindrical",100
"Hypogastrura purpurescens","body_shape","spherical",0
"Hypogastrura purpurescens","furca","absent",0
"Hypogastrura purpurescens","furca","present",100
"Hypogastrura purpurescens","ocelli","1_3",0
"Hypogastrura purpurescens","ocelli","4_7",0
"Hypogastrura purpurescens","ocelli","8",100
"Hypogastrura purpurescens","ocelli","absent",0
"Hypogastrura purpurescens","pigmentation","absent",0
"Hypogastrura purpurescens","pigmentation","present",100
"Hypogastrura purpurescens","post_antennal_organ","absent",0
"Hypogastrura purpurescens","post_antennal_organ","present",100
"Hypogastrura purpurescens","reproduction","asexual",0
"Hypogastrura purpurescens","reproduction","sexual",100
"Hypogastrura purpurescens","scales","absent",100
"Hypogastrura purpurescens","scales","present",0
"Hypogastrura sahlbergi","body_shape","cylindrical",100
"Hypogastrura sahlbergi","body_shape","spherical",0
"Hypogastrura sahlbergi","furca","absent",0
"Hypogastrura sahlbergi","furca","present",100
"Hypogastrura sahlbergi","ocelli","1_3",0
"Hypogastrura sahlbergi","ocelli","4_7",0
"Hypogastrura sahlbergi","ocelli","8",100
"Hypogastrura sahlbergi","ocelli","absent",0
"Hypogastrura sahlbergi","pigmentation","absent",0
"Hypogastrura sahlbergi","pigmentation","present",100
"Hypogastrura sahlbergi","post_antennal_organ","absent",0
"Hypogastrura sahlbergi","post_antennal_organ","present",100
"Hypogastrura sahlbergi","reproduction","asexual",0
"Hypogastrura sahlbergi","reproduction","sexual",100
"Hypogastrura sahlbergi","scales","absent",100
"Hypogastrura sahlbergi","scales","present",0
"Hypogastrura vernalis","body_shape","cylindrical",100
"Hypogastrura vernalis","body_shape","spherical",0
"Hypogastrura vernalis","furca","absent",0
"Hypogastrura vernalis","furca","present",100
"Hypogastrura vernalis","ocelli","1_3",0
"Hypogastrura vernalis","ocelli","4_7",0
"Hypogastrura vernalis","ocelli","8",100
"Hypogastrura vernalis","ocelli","absent",0
"Hypogastrura vernalis","pigmentation","absent",0
"Hypogastrura vernalis","pigmentation","present",100
"Hypogastrura vernalis","post_antennal_organ","absent",0
"Hypogastrura vernalis","post_antennal_organ","present",100
"Hypogastrura vernalis","reproduction","asexual",0
"Hypogastrura vernalis","reproduction","sexual",100
"Hypogastrura vernalis","scales","absent",100
"Hypogastrura vernalis","scales","present",0
"Isotoma anglicana","body_shape","cylindrical",100
"Isotoma anglicana","body_shape","spherical",0
"Isotoma anglicana","furca","absent",0
"Isotoma anglicana","furca","present",100
"Isotoma anglicana","ocelli","1_3",0
"Isotoma anglicana","ocelli","4_7",0
"Isotoma anglicana","ocelli","8",100
"Isotoma anglicana","ocelli","absent",0
"Isotoma anglicana","pigmentation","absent",0
"Isotoma anglicana","pigmentation","present",100
"Isotoma anglicana","post_antennal_organ","absent",0
"Isotoma anglicana","post_antennal_organ","present",100
"Isotoma anglicana","reproduction","asexual",0
"Isotoma anglicana","reproduction","sexual",100
"Isotoma anglicana","scales","absent",100
"Isotoma anglicana","scales","present",0
"Isotoma antennalis","body_shape","cylindrical",100
"Isotoma antennalis","body_shape","spherical",0
"Isotoma antennalis","furca","absent",0
"Isotoma antennalis","furca","present",100
"Isotoma antennalis","ocelli","1_3",0
"Isotoma antennalis","ocelli","4_7",0
"Isotoma antennalis","ocelli","8",100
"Isotoma antennalis","ocelli","absent",0
"Isotoma antennalis","pigmentation","absent",0
"Isotoma antennalis","pigmentation","present",100
"Isotoma antennalis","scales","absent",100
"Isotoma antennalis","scales","present",0
"Isotoma viridis","body_shape","cylindrical",100
"Isotoma viridis","body_shape","spherical",0
"Isotoma viridis","furca","absent",0
"Isotoma viridis","furca","present",100
"Isotoma viridis","ocelli","1_3",0
"Isotoma viridis","ocelli","4_7",0
"Isotoma viridis","ocelli","8",100
"Isotoma viridis","ocelli","absent",0
"Isotoma viridis","pigmentation","absent",0
"Isotoma viridis","pigmentation","present",100
"Isotoma viridis","post_antennal_organ","absent",0
"Isotoma viridis","post_antennal_organ","present",100
"Isotoma viridis","reproduction","asexual",0
"Isotoma viridis","reproduction","sexual",100
"Isotoma viridis","scales","absent",100
"Isotoma viridis","scales","present",0
"Isotomiella minor","body_shape","cylindrical",100
"Isotomiella minor","body_shape","spherical",0
"Isotomiella minor","furca","absent",0
"Isotomiella minor","furca","present",100
"Isotomiella minor","ocelli","1_3",0
"Isotomiella minor","ocelli","4_7",0
"Isotomiella minor","ocelli","8",0
"Isotomiella minor","ocelli","absent",100
"Isotomiella minor","pigmentation","absent",100
"Isotomiella minor","pigmentation","present",0
"Isotomiella minor","post_antennal_organ","absent",100
"Isotomiella minor","post_antennal_organ","present",0
"Isotomiella minor","reproduction","asexual",100
"Isotomiella minor","reproduction","sexual",0
"Isotomiella minor","scales","absent",100
"Isotomiella minor","scales","present",0
"Isotomodes bisetosus","body_shape","cylindrical",100
"Isotomodes bisetosus","body_shape","spherical",0
"Isotomodes bisetosus","furca","absent",0
"Isotomodes bisetosus","furca","present",100
"Isotomodes bisetosus","ocelli","1_3",0
"Isotomodes bisetosus","ocelli","4_7",0
"Isotomodes bisetosus","ocelli","8",0
"Isotomodes bisetosus","ocelli","absent",100
"Isotomodes bisetosus","pigmentation","absent",100
"Isotomodes bisetosus","pigmentation","present",0
"Isotomodes bisetosus","post_antennal_organ","absent",100
"Isotomodes bisetosus","post_antennal_organ","present",0
"Isotomodes bisetosus","reproduction","asexual",100
"Isotomodes bisetosus","reproduction","sexual",0
"Isotomodes bisetosus","scales","absent",100
"Isotomodes bisetosus","scales","present",0
"Isotomodes productus","body_shape","cylindrical",100
"Isotomodes productus","body_shape","spherical",0
"Isotomodes productus","furca","absent",0
"Isotomodes productus","furca","present",100
"Isotomodes productus","ocelli","1_3",0
"Isotomodes productus","ocelli","4_7",0
"Isotomodes productus","ocelli","8",0
"Isotomodes productus","ocelli","absent",100
"Isotomodes productus","pigmentation","absent",100
"Isotomodes productus","pigmentation","present",0
"Isotomodes productus","reproduction","asexual",100
"Isotomodes productus","reproduction","sexual",0
"Isotomodes productus","scales","absent",100
"Isotomodes productus","scales","present",0
"Isotomodes trisetosus","body_shape","cylindrical",100
"Isotomodes trisetosus","body_shape","spherical",0
"Isotomodes trisetosus","furca","absent",0
"Isotomodes trisetosus","furca","present",100
"Isotomodes trisetosus","ocelli","1_3",0
"Isotomodes trisetosus","ocelli","4_7",0
"Isotomodes trisetosus","ocelli","8",0
"Isotomodes trisetosus","ocelli","absent",100
"Isotomodes trisetosus","pigmentation","absent",100
"Isotomodes trisetosus","pigmentation","present",0
"Isotomodes trisetosus","post_antennal_organ","absent",0
"Isotomodes trisetosus","post_antennal_organ","present",100
"Isotomodes trisetosus","reproduction","asexual",100
"Isotomodes trisetosus","reproduction","sexual",0
"Isotomodes trisetosus","scales","absent",100
"Isotomodes trisetosus","scales","present",0
"Isotomurus antennalis","body_shape","cylindrical",100
"Isotomurus antennalis","body_shape","spherical",0
"Isotomurus antennalis","furca","absent",0
"Isotomurus antennalis","furca","present",100
"Isotomurus antennalis","ocelli","1_3",0
"Isotomurus antennalis","ocelli","4_7",0
"Isotomurus antennalis","ocelli","8",100
"Isotomurus antennalis","ocelli","absent",0
"Isotomurus antennalis","pigmentation","absent",0
"Isotomurus antennalis","pigmentation","present",100
"Isotomurus antennalis","reproduction","asexual",0
"Isotomurus antennalis","reproduction","sexual",100
"Isotomurus antennalis","scales","absent",100
"Isotomurus antennalis","scales","present",0
"Isotomurus palustris","body_shape","cylindrical",100
"Isotomurus palustris","body_shape","spherical",0
"Isotomurus palustris","furca","absent",0
"Isotomurus palustris","furca","present",100
"Isotomurus palustris","ocelli","1_3",0
"Isotomurus palustris","ocelli","4_7",0
"Isotomurus palustris","ocelli","8",100
"Isotomurus palustris","ocelli","absent",0
"Isotomurus palustris","pigmentation","absent",0
"Isotomurus palustris","pigmentation","present",100
"Isotomurus palustris","reproduction","asexual",0
"Isotomurus palustris","reproduction","sexual",100
"Isotomurus palustris","scales","absent",100
"Isotomurus palustris","scales","present",0
"Isotomurus plumosus","body_shape","cylindrical",100
"Isotomurus plumosus","body_shape","spherical",0
"Isotomurus plumosus","furca","absent",0
"Isotomurus plumosus","furca","present",100
"Isotomurus plumosus","ocelli","1_3",0
"Isotomurus plumosus","ocelli","4_7",0
"Isotomurus plumosus","ocelli","8",100
"Isotomurus plumosus","ocelli","absent",0
"Isotomurus plumosus","pigmentation","absent",0
"Isotomurus plumosus","pigmentation","present",100
"Isotomurus plumosus","reproduction","asexual",0
"Isotomurus plumosus","reproduction","sexual",100
"Isotomurus plumosus","scales","absent",100
"Isotomurus plumosus","scales","present",0
"Kalaphorura burmeisteri","body_shape","cylindrical",100
"Kalaphorura burmeisteri","body_shape","spherical",0
"Kalaphorura burmeisteri","furca","absent",100
"Kalaphorura burmeisteri","furca","present",0
"Kalaphorura burmeisteri","ocelli","1_3",0
"Kalaphorura burmeisteri","ocelli","4_7",0
"Kalaphorura burmeisteri","ocelli","8",0
"Kalaphorura burmeisteri","ocelli","absent",100
"Kalaphorura burmeisteri","pigmentation","absent",100
"Kalaphorura burmeisteri","pigmentation","present",0
"Kalaphorura burmeisteri","post_antennal_organ","absent",0
"Kalaphorura burmeisteri","post_antennal_organ","present",100
"Kalaphorura burmeisteri","scales","absent",100
"Kalaphorura burmeisteri","scales","present",0
"Lepidocyrtus curvicollis","body_shape","cylindrical",100
"Lepidocyrtus curvicollis","body_shape","spherical",0
"Lepidocyrtus curvicollis","furca","absent",0
"Lepidocyrtus curvicollis","furca","present",100
"Lepidocyrtus curvicollis","ocelli","1_3",0
"Lepidocyrtus curvicollis","ocelli","4_7",0
"Lepidocyrtus curvicollis","ocelli","8",100
"Lepidocyrtus curvicollis","ocelli","absent",0
"Lepidocyrtus curvicollis","pigmentation","absent",14
"Lepidocyrtus curvicollis","pigmentation","present",86
"Lepidocyrtus curvicollis","reproduction","asexual",0
"Lepidocyrtus curvicollis","reproduction","sexual",100
"Lepidocyrtus curvicollis","scales","absent",0
"Lepidocyrtus curvicollis","scales","present",100
"Lepidocyrtus cyaneus","body_shape","cylindrical",100
"Lepidocyrtus cyaneus","body_shape","spherical",0
"Lepidocyrtus cyaneus","furca","absent",0
"Lepidocyrtus cyaneus","furca","present",100
"Lepidocyrtus cyaneus","ocelli","1_3",0
"Lepidocyrtus cyaneus","ocelli","4_7",0
"Lepidocyrtus cyaneus","ocelli","8",100
"Lepidocyrtus cyaneus","ocelli","absent",0
"Lepidocyrtus cyaneus","pigmentation","absent",0
"Lepidocyrtus cyaneus","pigmentation","present",100
"Lepidocyrtus cyaneus","post_antennal_organ","absent",100
"Lepidocyrtus cyaneus","post_antennal_organ","present",0
"Lepidocyrtus cyaneus","reproduction","asexual",0
"Lepidocyrtus cyaneus","reproduction","sexual",100
"Lepidocyrtus cyaneus","scales","absent",0
"Lepidocyrtus cyaneus","scales","present",100
"Lepidocyrtus lanuginosus","body_shape","cylindrical",100
"Lepidocyrtus lanuginosus","body_shape","spherical",0
"Lepidocyrtus lanuginosus","furca","absent",0
"Lepidocyrtus lanuginosus","furca","present",100
"Lepidocyrtus lanuginosus","ocelli","1_3",0
"Lepidocyrtus lanuginosus","ocelli","4_7",0
"Lepidocyrtus lanuginosus","ocelli","8",100
"Lepidocyrtus lanuginosus","ocelli","absent",0
"Lepidocyrtus lanuginosus","pigmentation","absent",75
"Lepidocyrtus lanuginosus","pigmentation","present",25
"Lepidocyrtus lanuginosus","post_antennal_organ","absent",100
"Lepidocyrtus lanuginosus","post_antennal_organ","present",0
"Lepidocyrtus lanuginosus","reproduction","asexual",0
"Lepidocyrtus lanuginosus","reproduction","sexual",100
"Lepidocyrtus lanuginosus","scales","absent",0
"Lepidocyrtus lanuginosus","scales","present",100
"Lepidocyrtus lignorum","body_shape","cylindrical",100
"Lepidocyrtus lignorum","body_shape","spherical",0
"Lepidocyrtus lignorum","furca","absent",0
"Lepidocyrtus lignorum","furca","present",100
"Lepidocyrtus lignorum","ocelli","1_3",0
"Lepidocyrtus lignorum","ocelli","4_7",0
"Lepidocyrtus lignorum","ocelli","8",100
"Lepidocyrtus lignorum","ocelli","absent",0
"Lepidocyrtus lignorum","pigmentation","absent",20
"Lepidocyrtus lignorum","pigmentation","present",80
"Lepidocyrtus lignorum","post_antennal_organ","absent",100
"Lepidocyrtus lignorum","post_antennal_organ","present",0
"Lepidocyrtus lignorum","reproduction","asexual",0
"Lepidocyrtus lignorum","reproduction","sexual",100
"Lepidocyrtus lignorum","scales","absent",0
"Lepidocyrtus lignorum","scales","present",100
"Lepidocyrtus violaceus","body_shape","cylindrical",100
"Lepidocyrtus violaceus","body_shape","spherical",0
"Lepidocyrtus violaceus","furca","absent",0
"Lepidocyrtus violaceus","furca","present",100
"Lepidocyrtus violaceus","ocelli","1_3",0
"Lepidocyrtus violaceus","ocelli","4_7",0
"Lepidocyrtus violaceus","ocelli","8",100
"Lepidocyrtus violaceus","ocelli","absent",0
"Lepidocyrtus violaceus","pigmentation","absent",0
"Lepidocyrtus violaceus","pigmentation","present",100
"Lepidocyrtus violaceus","post_antennal_organ","absent",100
"Lepidocyrtus violaceus","post_antennal_organ","present",0
"Lepidocyrtus violaceus","reproduction","asexual",0
"Lepidocyrtus violaceus","reproduction","sexual",100
"Lepidocyrtus violaceus","scales","absent",0
"Lepidocyrtus violaceus","scales","present",100
"Megalothorax minimus","body_shape","cylindrical",0
"Megalothorax minimus","body_shape","spherical",100
"Megalothorax minimus","furca","absent",0
"Megalothorax minimus","furca","present",100
"Megalothorax minimus","ocelli","1_3",0
"Megalothorax minimus","ocelli","4_7",0
"Megalothorax minimus","ocelli","8",0
"Megalothorax minimus","ocelli","absent",100
"Megalothorax minimus","pigmentation","absent",50
"Megalothorax minimus","pigmentation","present",50
"Megalothorax minimus","reproduction","asexual",100
"Megalothorax minimus","reproduction","sexual",0
"Megalothorax minimus","scales","absent",100
"Megalothorax minimus","scales","present",0
"Mesaphorura florae","body_shape","cylindrical",100
"Mesaphorura florae","body_shape","spherical",0
"Mesaphorura florae","furca","absent",100
"Mesaphorura florae","furca","present",0
"Mesaphorura florae","ocelli","1_3",0
"Mesaphorura florae","ocelli","4_7",0
"Mesaphorura florae","ocelli","8",0
"Mesaphorura florae","ocelli","absent",100
"Mesaphorura florae","pigmentation","absent",100
"Mesaphorura florae","pigmentation","present",0
"Mesaphorura florae","post_antennal_organ","absent",0
"Mesaphorura florae","post_antennal_organ","present",100
"Mesaphorura florae","reproduction","asexual",100
"Mesaphorura florae","reproduction","sexual",0
"Mesaphorura florae","scales","absent",100
"Mesaphorura florae","scales","present",0
"Mesaphorura hylophila","body_shape","cylindrical",100
"Mesaphorura hylophila","body_shape","spherical",0
"Mesaphorura hylophila","furca","absent",100
"Mesaphorura hylophila","furca","present",0
"Mesaphorura hylophila","ocelli","1_3",0
"Mesaphorura hylophila","ocelli","4_7",0
"Mesaphorura hylophila","ocelli","8",0
"Mesaphorura hylophila","ocelli","absent",100
"Mesaphorura hylophila","pigmentation","absent",100
"Mesaphorura hylophila","pigmentation","present",0
"Mesaphorura hylophila","post_antennal_organ","absent",0
"Mesaphorura hylophila","post_antennal_organ","present",100
"Mesaphorura hylophila","reproduction","asexual",100
"Mesaphorura hylophila","reproduction","sexual",0
"Mesaphorura hylophila","scales","absent",100
"Mesaphorura hylophila","scales","present",0
"Mesaphorura italica","body_shape","cylindrical",100
"Mesaphorura italica","body_shape","spherical",0
"Mesaphorura italica","furca","absent",100
"Mesaphorura italica","furca","present",0
"Mesaphorura italica","ocelli","1_3",0
"Mesaphorura italica","ocelli","4_7",0
"Mesaphorura italica","ocelli","8",0
"Mesaphorura italica","ocelli","absent",100
"Mesaphorura italica","pigmentation","absent",100
"Mesaphorura italica","pigmentation","present",0
"Mesaphorura italica","post_antennal_organ","absent",0
"Mesaphorura italica","post_antennal_organ","present",100
"Mesaphorura italica","reproduction","asexual",100
"Mesaphorura italica","reproduction","sexual",0
"Mesaphorura italica","scales","absent",100
"Mesaphorura italica","scales","present",0
"Mesaphorura krausbaueri","body_shape","cylindrical",100
"Mesaphorura krausbaueri","body_shape","spherical",0
"Mesaphorura krausbaueri","furca","absent",100
"Mesaphorura krausbaueri","furca","present",0
"Mesaphorura krausbaueri","ocelli","1_3",0
"Mesaphorura krausbaueri","ocelli","4_7",0
"Mesaphorura krausbaueri","ocelli","8",0
"Mesaphorura krausbaueri","ocelli","absent",100
"Mesaphorura krausbaueri","pigmentation","absent",100
"Mesaphorura krausbaueri","pigmentation","present",0
"Mesaphorura krausbaueri","reproduction","asexual",100
"Mesaphorura krausbaueri","reproduction","sexual",0
"Mesaphorura krausbaueri","scales","absent",100
"Mesaphorura krausbaueri","scales","present",0
"Mesaphorura macrochaeta","body_shape","cylindrical",100
"Mesaphorura macrochaeta","body_shape","spherical",0
"Mesaphorura macrochaeta","furca","absent",100
"Mesaphorura macrochaeta","furca","present",0
"Mesaphorura macrochaeta","ocelli","1_3",0
"Mesaphorura macrochaeta","ocelli","4_7",0
"Mesaphorura macrochaeta","ocelli","8",0
"Mesaphorura macrochaeta","ocelli","absent",100
"Mesaphorura macrochaeta","pigmentation","absent",100
"Mesaphorura macrochaeta","pigmentation","present",0
"Mesaphorura macrochaeta","reproduction","asexual",90
"Mesaphorura macrochaeta","reproduction","sexual",10
"Mesaphorura macrochaeta","scales","absent",100
"Mesaphorura macrochaeta","scales","present",0
"Mesaphorura sylvatica","body_shape","cylindrical",100
"Mesaphorura sylvatica","body_shape","spherical",0
"Mesaphorura sylvatica","furca","absent",100
"Mesaphorura sylvatica","furca","present",0
"Mesaphorura sylvatica","ocelli","1_3",0
"Mesaphorura sylvatica","ocelli","4_7",0
"Mesaphorura sylvatica","ocelli","8",0
"Mesaphorura sylvatica","ocelli","absent",100
"Mesaphorura sylvatica","pigmentation","absent",100
"Mesaphorura sylvatica","pigmentation","present",0
"Mesaphorura sylvatica","reproduction","asexual",50
"Mesaphorura sylvatica","reproduction","sexual",50
"Mesaphorura sylvatica","scales","absent",100
"Mesaphorura sylvatica","scales","present",0
"Metaphorura affinis","body_shape","cylindrical",100
"Metaphorura affinis","body_shape","spherical",0
"Metaphorura affinis","furca","absent",100
"Metaphorura affinis","furca","present",0
"Metaphorura affinis","ocelli","1_3",0
"Metaphorura affinis","ocelli","4_7",0
"Metaphorura affinis","ocelli","8",0
"Metaphorura affinis","ocelli","absent",100
"Metaphorura affinis","pigmentation","absent",100
"Metaphorura affinis","pigmentation","present",0
"Metaphorura affinis","post_antennal_organ","absent",0
"Metaphorura affinis","post_antennal_organ","present",100
"Metaphorura affinis","reproduction","asexual",60
"Metaphorura affinis","reproduction","sexual",40
"Metaphorura affinis","scales","absent",100
"Metaphorura affinis","scales","present",0
"Micranurida pygmaea","body_shape","cylindrical",100
"Micranurida pygmaea","body_shape","spherical",0
"Micranurida pygmaea","furca","absent",100
"Micranurida pygmaea","furca","present",0
"Micranurida pygmaea","ocelli","1_3",0
"Micranurida pygmaea","ocelli","4_7",0
"Micranurida pygmaea","ocelli","8",0
"Micranurida pygmaea","ocelli","absent",100
"Micranurida pygmaea","pigmentation","absent",100
"Micranurida pygmaea","pigmentation","present",0
"Micranurida pygmaea","post_antennal_organ","absent",0
"Micranurida pygmaea","post_antennal_organ","present",100
"Micranurida pygmaea","scales","absent",100
"Micranurida pygmaea","scales","present",0
"Micranurida sensillata","body_shape","cylindrical",100
"Micranurida sensillata","body_shape","spherical",0
"Micranurida sensillata","furca","absent",100
"Micranurida sensillata","furca","present",0
"Micranurida sensillata","ocelli","1_3",0
"Micranurida sensillata","ocelli","4_7",0
"Micranurida sensillata","ocelli","8",0
"Micranurida sensillata","ocelli","absent",100
"Micranurida sensillata","pigmentation","absent",100
"Micranurida sensillata","pigmentation","present",0
"Micranurida sensillata","post_antennal_organ","absent",0
"Micranurida sensillata","post_antennal_organ","present",100
"Micranurida sensillata","reproduction","asexual",50
"Micranurida sensillata","reproduction","sexual",50
"Micranurida sensillata","scales","absent",100
"Micranurida sensillata","scales","present",0
"Monobella grassei","body_shape","cylindrical",100
"Monobella grassei","body_shape","spherical",0
"Monobella grassei","furca","absent",100
"Monobella grassei","furca","present",0
"Monobella grassei","ocelli","1_3",100
"Monobella grassei","ocelli","4_7",0
"Monobella grassei","ocelli","8",0
"Monobella grassei","ocelli","absent",0
"Monobella grassei","pigmentation","absent",0
"Monobella grassei","pigmentation","present",100
"Monobella grassei","reproduction","asexual",50
"Monobella grassei","reproduction","sexual",50
"Monobella grassei","scales","absent",100
"Monobella grassei","scales","present",0
"Mucrosomia garretti","body_shape","cylindrical",100
"Mucrosomia garretti","body_shape","spherical",0
"Mucrosomia garretti","furca","absent",0
"Mucrosomia garretti","furca","present",100
"Mucrosomia garretti","ocelli","1_3",0
"Mucrosomia garretti","ocelli","4_7",0
"Mucrosomia garretti","ocelli","8",0
"Mucrosomia garretti","ocelli","absent",100
"Mucrosomia garretti","pigmentation","absent",100
"Mucrosomia garretti","pigmentation","present",0
"Mucrosomia garretti","post_antennal_organ","absent",50
"Mucrosomia garretti","post_antennal_organ","present",50
"Mucrosomia garretti","reproduction","asexual",50
"Mucrosomia garretti","reproduction","sexual",50
"Mucrosomia garretti","scales","absent",100
"Mucrosomia garretti","scales","present",0
"Neanura muscorum","body_shape","cylindrical",100
"Neanura muscorum","body_shape","spherical",0
"Neanura muscorum","furca","absent",0
"Neanura muscorum","furca","present",100
"Neanura muscorum","ocelli","1_3",100
"Neanura muscorum","ocelli","4_7",0
"Neanura muscorum","ocelli","8",0
"Neanura muscorum","ocelli","absent",0
"Neanura muscorum","pigmentation","absent",0
"Neanura muscorum","pigmentation","present",100
"Neanura muscorum","reproduction","asexual",66
"Neanura muscorum","reproduction","sexual",34
"Neanura muscorum","scales","absent",100
"Neanura muscorum","scales","present",0
"Neelus murinus","body_shape","cylindrical",0
"Neelus murinus","body_shape","spherical",100
"Neelus murinus","furca","absent",0
"Neelus murinus","furca","present",100
"Neelus murinus","ocelli","1_3",0
"Neelus murinus","ocelli","4_7",0
"Neelus murinus","ocelli","8",0
"Neelus murinus","ocelli","absent",100
"Neelus murinus","pigmentation","absent",0
"Neelus murinus","pigmentation","present",100
"Neelus murinus","reproduction","asexual",50
"Neelus murinus","reproduction","sexual",50
"Neelus murinus","scales","absent",100
"Neelus murinus","scales","present",0
"Neonaphorura duboscqi","body_shape","cylindrical",100
"Neonaphorura duboscqi","body_shape","spherical",0
"Neonaphorura duboscqi","furca","absent",100
"Neonaphorura duboscqi","furca","present",0
"Neonaphorura duboscqi","ocelli","1_3",0
"Neonaphorura duboscqi","ocelli","4_7",0
"Neonaphorura duboscqi","ocelli","8",0
"Neonaphorura duboscqi","ocelli","absent",100
"Neonaphorura duboscqi","pigmentation","absent",100
"Neonaphorura duboscqi","pigmentation","present",0
"Neonaphorura duboscqi","post_antennal_organ","absent",0
"Neonaphorura duboscqi","post_antennal_organ","present",100
"Neonaphorura duboscqi","scales","absent",100
"Neonaphorura duboscqi","scales","present",0
"Neotullbergia crassicuspis","body_shape","cylindrical",100
"Neotullbergia crassicuspis","body_shape","spherical",0
"Neotullbergia crassicuspis","furca","absent",100
"Neotullbergia crassicuspis","furca","present",0
"Neotullbergia crassicuspis","ocelli","1_3",0
"Neotullbergia crassicuspis","ocelli","4_7",0
"Neotullbergia crassicuspis","ocelli","8",0
"Neotullbergia crassicuspis","ocelli","absent",100
