"uri","id","prefLabel","top","depth","broader","definition","scopeNote"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","341","Soil_ph_range","Ecological_preference",4,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_SJPVBVPNTF-C","The range of soil pH at which an organism is found. Soil pH measured in water:soil solution is preferred (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_0746N2LJ5S-5","257","Standing_water_banks","Ecological_preference",4,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_KV7S4HL8QS-0","Response of species to standing water bank area, based on the number of observations of species living in this habitat","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_W7THFMW35M-R","299","Sub_nival_level","Ecological_preference",4,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_TC3L1FSDF3-B","The highest zone that vegetation typically exists, snow is found in this region for part of the year (Troll, Carl (1973))","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_DV18K7KR1R-0","298","Treeless_alpine_level","Ecological_preference",4,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_TC3L1FSDF3-B","The low-alpine level (Troll, Carl (1973))","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_SVQP6N5X96-V","276","Vineyards","Ecological_preference",4,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_P636VPM6KP-V","Response of species to vineyards based on the number of observations of species living in this habitat","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_R7VHH5DXHH-3","335","Zn","Ecological_preference",4,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_RJ63CMX86J-8","The Zn content of soil in which species are found","mg/kg DW"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_T2WB1SM6T1-T","283","Angiosperm","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_GQCFHVMR26-M","Response of species to sempervirent forest with angiosperm based on the number of observations of species living in this habitat","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_SDSF5CB9WX-X","345","Extremely_acidic","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","From 3.5 to 4.4 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_7JNQ24DWH0-V","282","Gymnosperm","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_GQCFHVMR26-M","Response of species to sempervirent forest with gymnosperm based on the number of observations of species living in this habitat","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_QSGVXB1FJ3-C","352","Moderately_acidic","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","From 5.6 to 6 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
